number,value,datetime_start,datetime_complete,duration,params_D1_freq,params_D1_weight,params_D2_freq,params_D2_weight,params_FSNtoD1_w,params_FSNtoD2_w,params_delay_delta,params_weight_delta,state
39,3.8480840956475517,2024-01-26 03:14:16.615341,2024-01-26 03:15:16.732254,0 days 00:01:00.116913,1205.7397733436799,0.5017252174114877,1007.3660321253808,0.5035257124610253,7.596799264767453,5.749052230191559,0.427536260849049,0.598128356310765,COMPLETE
40,2.954035763061549,2024-01-26 03:14:31.450963,2024-01-26 03:15:31.753790,0 days 00:01:00.302827,1210.2071355243897,0.5208109552799872,1013.2503401070561,0.5008239361477775,5.950720216879302,5.638225392621915,0.2412880376430869,0.5914758792465298,COMPLETE
41,3.007678895064786,2024-01-26 03:15:16.746705,2024-01-26 03:16:30.216212,0 days 00:01:13.469507,1262.1597164038346,0.5249438885311242,1013.2173435381595,0.4514359269896576,6.900883029571198,3.8146152750694364,0.2454231297349454,0.7263920115152298,COMPLETE
42,4.713861616250603,2024-01-26 03:15:16.813378,2024-01-26 03:16:30.227100,0 days 00:01:13.413722,1061.6265170870656,0.5204501899354741,1099.9745377860133,0.374364844688387,6.8348465801856655,3.8037820573475205,0.24494495655858797,0.658615387906153,COMPLETE
43,2.8107821957647765,2024-01-26 03:15:31.758585,2024-01-26 03:16:30.221789,0 days 00:00:58.463204,1214.745287888024,0.521760609301407,1013.824388490974,0.5167044516607882,5.750624014751552,5.340802494500695,0.2419912251249558,0.6920487302474567,COMPLETE
44,5.413926369314059,2024-01-26 03:16:30.229395,2024-01-26 03:17:00.537836,0 days 00:00:30.308441,1188.7890780353725,0.3868378524428038,974.3321705670156,0.5165132473946573,5.967483456417215,5.3240088107596435,0.1757396122693742,0.4608095872087776,COMPLETE
45,6.082793906935047,2024-01-26 03:16:30.238655,2024-01-26 03:17:30.798188,0 days 00:01:00.559533,1207.8537747290727,0.3800114152946158,977.0165159890929,0.5129020933432501,5.760663458950395,5.293877850571677,0.17765492531469304,0.4487463553184835,COMPLETE
46,5.176815556825416,2024-01-26 03:16:30.239455,2024-01-26 03:17:15.736133,0 days 00:00:45.496678,1192.299863715945,0.3741471358448159,972.9832558337969,0.5211075156280252,5.751283834619598,5.647784844146743,0.16707938060533967,0.6852380174382764,COMPLETE
47,2.6658619656424993,2024-01-26 03:17:01.015423,2024-01-26 03:18:02.221566,0 days 00:01:01.206143,1258.1517724368694,0.5138997335290925,1059.070493122782,0.5095438821467084,5.792389377178648,5.649834429518661,0.32677023304833946,0.7232072326265332,COMPLETE
48,4.211982797838572,2024-01-26 03:17:30.791242,2024-01-26 03:20:24.121557,0 days 00:02:53.330315,1206.518318409128,0.5120403538196635,1059.2171739211033,0.5119363046948167,5.906489496962281,5.415429752743347,0.3243079188388376,0.8222575336206221,COMPLETE
